domain,dimension,check_id,status,observed,criterion,interpretation,rerun
충전소,내적,MASTER_UNIQUE_KEY,PASS,0,duplicate statId+chgerId = 0,충전기 키 중복 여부,validate_data_validity.py
충전소,내적,MASTER_COORDINATES,PASS,24554/24554,Daegu bbox 좌표 ≥99%,좌표가 공간 조인에 적합한지,validate_data_validity.py
상태,내적,STATUS_DUPLICATE_KEY,PASS,0,duplicate statId+chgerId = 0,동일 tick 내 상태 키의 유일성,validate_collection.py
상태,외적,MASTER_STATUS_KEY_OVERLAP,PASS,388/393 (98.73%),master key overlap ≥98%,최신 상태가 최신 master에 귀속되는지,validate_data_validity.py
상태,신뢰성,STATUS_RELIABILITY_BATTERY,WARN,R2_gap25,R1–R6 all pass,기존 상태 시계열 신뢰성 조건의 재현,plot_and_reliability_all_snapshots.py
상태,내적,STATUS_CORPUS_DUPLICATE_PAIRS,WARN,52 snapshots,all snapshots have duplicate statId+chgerId = 0,최신 tick은 정상이나 과거 52개 snapshot에 중복 key가 있어 시계열 집계 시 dedupe가 필요,validate_collection.py --write-report
상태,신뢰성,STATUS_CADENCE_GAPS,WARN,11,long collection gaps = 0,야간·PC off 구간 포함 11개 장기 공백,validate_collection.py --write-report
주차,내적,PARKING_REALTIME_SUBSET,WARN,1,realtime pkltId ⊆ master,1개 realtime 주차장 ID가 최신 master에 없어 export 시점 차이 또는 master 보완이 필요,export_team5_parking_csv.py
주차,내적,PARKING_OCCUPANCY_FORMULA,WARN,1/108,|occupancy% - 100×(total-remaining)/total| ≤ 0.02,잔여면과 점유율의 수식 일관성,validate_data_validity.py
주차,공간,PARKING_JOIN_RADIUS,PASS,0,matched distance ≤1000m,join_parking_team5.py,validate_data_validity.py
주차,외적,PARKING_REALTIME_COVERAGE,WARN,428/3922 matched stations,1km 정적 조인 ≠ 동일 시설·realtime은 일부 lot,parking_ev_colocation report,validate_data_validity.py
도시소통,내적,TRAFFIC_LINK_ALIAS_DUPLICATES,WARN,324,linkId alias rows must be deduplicated for link-level aggregates,"동일 linkId가 복수 roadName으로 반복된다. 도시 평균은 원천 행 기준이고, link 단위 분석은 dedupe가 필요",analyze_city_congestion.py
도시소통,내적,TRAFFIC_SPEED_GRADE_ORDER,PASS,"{'1': 43.62, '2': 22.16, '3': 13.88}",grade 1 speed ≥ grade 2 ≥ grade 3,속도와 혼잡 등급의 방향성,validate_data_validity.py
도시소통,외적,TRAFFIC_ETA_BOUNDARY,WARN,link geometry absent,city linkspeed must not be used as route ETA,dynamic/static contract,validate_data_validity.py
UTIC,내적,UTIC_UNIQUE_INCIDENT,PASS,0,latest tick incidentId unique,extract_utic_incident.py,validate_data_validity.py
UTIC,외적,UTIC_DAEGU_FILTER,PASS,22/22 address contains 대구,all latest rows Daegu-filtered,extract_utic_incident.py,validate_data_validity.py
UTIC,공간,UTIC_JOIN_RADIUS,PASS,0,matched distance ≤1000m,join_utic_incident.py,validate_data_validity.py
이용이력,내적,USAGE_NONNEGATIVE,PASS,0,negative sessions = 0,이용 횟수의 범위 검증,usage_eda.py
이용이력,공간,USAGE_JOIN_RADIUS,PASS,0,matched distance ≤80m,build_usage_history_features.py,validate_data_validity.py
D1,내적,D1_ONE_ROW_PER_STATION,PASS,0,duplicate statId = 0,D1 row unit 검증,build_d1_snapshot.py
D1,내적,D1_UNOBSERVED_NULL_POLICY,PASS,0,observed_count=0 → availability ratio null,status_as_of.py,validate_data_validity.py
D1,내적,D1_COUNT_BOUNDS,PASS,0,0 ≤ available_count ≤ total_chargers,build_d1_snapshot.py,validate_data_validity.py
D1,내적,D1_PUBLIC_ACCESS_FLAGS,PASS,0,public default and access restricted do not overlap,build_d1_snapshot.py,validate_data_validity.py
이용이력,외적,USAGE_D1_COVERAGE,WARN,200/4210 (4.8%),coverage ceiling = municipal ~219 stations (not join bug); auxiliary prior only,integration readiness,validate_data_validity.py
수집운영,신뢰성,DYNAMIC_FILE_FRESHNESS,WARN,"EvCharger status (loop1)=38.1m, Daegu traffic (loop3)=43.3m",status ≤30m and traffic ≤45m,check_collection_health.py,validate_data_validity.py
D1,신뢰성,D1_LIVE_STATUS_DRIFT,PASS,0.0m,D1 rebuilt within 30 minutes of latest status,build_d1_snapshot.py,validate_data_validity.py
D1,신뢰성,D1_LIVE_UTIC_DRIFT,PASS,"D1=942, live=942",same timestamp required for equality,join_utic_incident.py → build_d1_snapshot.py,validate_data_validity.py
